ID;Location;mosquito_net;tchanga;cloth_trap;nylon_trap;full_moon;new_moon;crescent_moon;last_quarter;seasonality;spp_richness;fishing_effort
1;Praia Lapa;1;0;0;0;NA;NA;NA;NA;Wet;2;0,875
2;Lemba;0;0;0;1;0;1;1;0;NA;NA;2,475
3;Praia Lapa;1;0;0;0;1;0;0;1;Wet;4;0,8
4;Praia Campanha;1;0;0;0;0;0;0;1;Wet;2;0,933333333
5;Praia Campanha;1;0;0;0;0;0;0;1;Wet;2;3
6;Praia Campanha;1;0;0;0;0;0;0;1;Wet;4;0,6
7;Praia Campanha;1;0;0;0;NA;NA;NA;NA;Wet;3;1,071428571
8;Praia Campanha;1;0;0;0;NA;NA;NA;NA;Wet;3;0,7125
9;Praia Campanha;1;0;0;0;NA;NA;NA;NA;Wet;3;3,75
10;Praia Campanha;1;0;0;0;NA;NA;NA;NA;Wet;NA;0,6
11;Praia Campanha;1;0;0;0;NA;NA;NA;NA;Wet;4;0,6
12;Praia Campanha;1;0;0;0;NA;NA;NA;NA;Wet;3;1,2
13;Praia Campanha;1;0;0;0;NA;NA;NA;NA;Wet;3;1,285714286
14;Praia Campanha;1;0;0;0;NA;NA;NA;NA;Wet;4;0,9375
15;Budo Budo;1;0;0;0;0;0;0;1;Wet;1;1,5
16;Budo Budo;1;0;0;0;NA;NA;NA;NA;Wet;1;0,666666667
17;Budo Budo;1;0;0;0;0;0;0;1;Wet;2;1,2
18;Budo Budo;1;0;0;0;0;0;0;1;Wet;2;0,78
19;Praia Lapa;1;0;0;0;NA;NA;NA;NA;Wet;2;1,4625
20;Praia Lapa;1;0;0;0;1;0;0;0;Dry;2;0,58
21;Praia Lapa;1;0;0;0;0;0;0;1;Wet;3;0,84375
22;Lemba;0;0;0;1;1;0;0;1;Dry;NA;10,8
23;Lemba;0;1;0;1;1;0;0;1;Wet;NA;NA
24;Lemba;0;0;0;1;0;0;0;1;Wet;NA;15,42857143
25;Lemba;0;0;0;1;0;0;0;1;Dry;NA;0,818181818
26;Lemba;0;1;0;1;0;0;0;1;Wet;NA;5,85
27;Lemba;0;1;0;1;0;0;0;1;Wet;NA;4,725
28;Paga Fogo;0;1;0;1;0;0;0;1;NA;NA;1,4
29;Lemba;0;1;0;0;0;1;0;1;Wet;NA;1
30;Lemba;0;0;0;1;0;0;0;1;NA;NA;6,260869565
