"year","month","icell","lat","lon","gear","light","hook","bait","fleet","hbf","hooks","c.BUM","c.SWO","SWO.cpue","BUM.cpue","SWO.sucess","BUM.sucess","Year"
"1958","11",3230,1.5,-30.5,"203","0","0","0","2","3",1248,2,37,29.6474358974359,1.6025641025641,1,1,"1958"
"1958","1",3378,3.5,-2.5,"203","0","0","0","2","3",1257,1,43,34.2084327764519,0.795544948289578,1,1,"1958"
"1958","5",3492,6.5,-51.5,"203","0","0","0","2","3",1269,8,49,38.6130811662727,6.30417651694247,1,1,"1958"
"1958","7",3645,9.5,-37.5,"203","0","0","0","2","3",1248,1,33,26.4423076923077,0.801282051282051,1,1,"1958"
"1958","11",3444,5.5,-49.5,"203","0","0","0","2","3",1266,10,45,35.5450236966825,7.89889415481832,1,1,"1958"
"1958","3",3323,2.5,2.5,"203","0","0","0","2","3",1260,2,45,35.7142857142857,1.58730158730159,1,1,"1958"
"1958","9",3494,6.5,-49.5,"203","0","0","0","2","3",1257,4,44,35.0039777247414,3.18217979315831,1,1,"1958"
"1958","9",3446,5.5,-47.5,"203","0","0","0","2","3",1257,2,39,31.0262529832936,1.59108989657916,1,1,"1958"
"1958","11",3567,7.5,-21.5,"203","0","0","0","2","3",1254,0,30,23.9234449760766,0,1,0,"1958"
"1958","10",3491,6.5,-52.5,"203","0","0","0","2","3",1254,5,47,37.4800637958533,3.98724082934609,1,1,"1958"
"1958","11",3288,2.5,-32.5,"203","0","0","0","2","3",1248,0,35,28.0448717948718,0,1,0,"1958"
"1958","8",3444,5.5,-49.5,"203","0","0","0","2","3",1263,10,42,33.2541567695962,7.91765637371338,1,1,"1958"
"1958","7",3861,13.5,-68.5,"203","0","0","0","2","3",1257,2,37,29.4351630867144,1.59108989657916,1,1,"1958"
"1958","2",3197,0.5,-4.5,"203","0","0","0","2","3",1260,0,25,19.8412698412698,0,1,0,"1958"
"1958","12",3544,7.5,-44.5,"203","0","0","0","2","3",1269,1,41,32.3089046493302,0.788022064617809,1,1,"1958"
"1958","6",3519,6.5,-24.5,"203","0","0","0","2","3",1257,1,33,26.2529832935561,0.795544948289578,1,1,"1958"
"1958","1",3379,3.5,-1.5,"203","0","0","0","2","3",1257,1,26,20.684168655529,0.795544948289578,1,1,"1958"
"1958","3",3263,1.5,2.5,"203","0","0","0","2","3",1260,1,41,32.5396825396825,0.793650793650794,1,1,"1958"
"1958","6",3573,7.5,-15.5,"203","0","0","0","2","3",1254,1,23,18.341307814992,0.797448165869219,1,1,"1958"
"1958","7",3520,6.5,-23.5,"203","0","0","0","2","3",1263,4,29,22.9612034837688,3.16706254948535,1,1,"1958"
"1958","9",3490,6.5,-53.5,"203","0","0","0","2","3",1260,0,0,0,0,0,0,"1958"
"1958","5",3872,13.5,-57.5,"203","0","0","0","2","3",1251,13,34,27.1782573940847,10.3916866506795,1,1,"1958"
"1958","2",3431,4.5,-5.5,"203","0","0","0","2","3",1227,0,27,22.0048899755501,0,1,0,"1958"
"1958","10",3877,13.5,-52.5,"203","0","0","0","2","3",1254,6,43,34.2902711323764,4.78468899521531,1,1,"1958"
"1958","10",3223,1.5,-37.5,"203","0","0","0","2","3",1257,6,43,34.2084327764519,4.77326968973747,1,1,"1958"
"1958","4",3195,0.5,-6.5,"203","0","0","0","2","3",1269,1,36,28.3687943262411,0.788022064617809,1,1,"1958"
"1958","2",2667,-9.5,-32.5,"203","0","0","0","2","3",1260,4,44,34.9206349206349,3.17460317460317,1,1,"1958"
"1958","1",3346,3.5,-34.5,"203","0","0","0","2","3",1263,1,29,22.9612034837688,0.791765637371338,1,1,"1958"
"1958","10",3401,4.5,-38.5,"203","0","0","0","2","3",1257,3,31,24.6618933969769,2.38663484486874,1,1,"1958"
"1958","10",3341,3.5,-39.5,"203","0","0","0","2","3",1257,6,41,32.6173428798727,4.77326968973747,1,1,"1958"
"1958","6",3607,8.5,-26.5,"203","0","0","0","2","3",1254,0,26,20.7336523125997,0,1,0,"1958"
"1958","12",3556,7.5,-32.5,"203","0","0","0","2","3",1242,2,30,24.1545893719807,1.61030595813205,1,1,"1958"
"1958","10",3541,7.5,-47.5,"203","0","0","0","2","3",1263,2,30,23.7529691211401,1.58353127474268,1,1,"1958"
"1958","12",3554,7.5,-34.5,"203","0","0","0","2","3",1242,0,22,17.7133655394525,0,1,0,"1958"
"1958","3",3383,3.5,2.5,"203","0","0","0","2","3",1260,2,24,19.0476190476191,1.58730158730159,1,1,"1958"
"1958","5",3738,11.5,-59.5,"203","0","0","0","2","3",1251,2,37,29.5763389288569,1.59872102318145,1,1,"1958"
"1958","5",3188,0.5,-13.5,"203","0","0","0","2","3",1317,1,47,35.6871678056188,0.759301442672741,1,1,"1958"
"1958","6",3666,9.5,-16.5,"203","0","0","0","2","3",1254,0,36,28.7081339712919,0,1,0,"1958"
"1958","10",3496,6.5,-47.5,"203","0","0","0","2","3",1263,7,37,29.2953285827395,5.54235946159937,1,1,"1958"
"1958","9",3635,9.5,-47.5,"203","0","0","0","2","3",1257,1,24,19.0930787589499,0.795544948289578,1,1,"1958"
"1958","11",3845,12.5,-18.5,"203","0","0","0","2","3",1311,0,11,8.3905415713196,0,1,0,"1958"
"1958","6",3478,5.5,-15.5,"203","0","0","0","2","3",1254,1,18,14.3540669856459,0.797448165869219,1,1,"1958"
"1958","10",3584,8.5,-49.5,"203","0","0","0","2","3",1263,7,49,38.7965162311956,5.54235946159937,1,1,"1958"
"1958","5",3259,1.5,-1.5,"203","0","0","0","2","3",1281,0,38,29.664324746292,0,1,0,"1958"
"1958","4",2666,-9.5,-33.5,"203","0","0","0","2","3",1233,9,34,27.5750202757502,7.2992700729927,1,1,"1958"
"1958","12",3280,2.5,-40.5,"203","0","0","0","2","3",1230,2,48,39.0243902439024,1.6260162601626,1,1,"1958"
"1958","12",3232,1.5,-28.5,"203","0","0","0","2","3",1269,2,40,31.5208825847124,1.57604412923562,1,1,"1958"
"1958","11",3495,6.5,-48.5,"203","0","0","0","2","3",1266,2,31,24.4865718799368,1.57977883096367,1,1,"1958"
"1958","6",3567,7.5,-21.5,"203","0","0","0","2","3",1257,2,26,20.684168655529,1.59108989657916,1,1,"1958"
"1958","2",3263,1.5,2.5,"203","0","0","0","2","3",1248,1,47,37.6602564102564,0.801282051282051,1,1,"1958"
"1958","11",3533,7.5,-55.5,"203","0","0","0","2","3",1272,3,49,38.5220125786163,2.35849056603774,1,1,"1958"
